AEviterUsagePourTest,#We123123,pourtest@gmail.com,test,test,1281231231,H5W3X3,0
auteur1,#We123123,teng.wanting@umontreal.ca,Teng,Wanting,5148888888,H3C3J7,0
auteur2,#We123123,he.yongkang@gmail.com,he,yongkang,5140003333,H3C3J7,0
auteur3,#We123123,lin.yuxiang@umontreal.ca,Lin,Yuxiang,5147775555,H3C3J7,0
bot1,#Bot123123,bot1@umontreal.ca,bot,botbot,5147775555,H3C3J7,0
bot2,#Bot123123,bot2@umontreal.ca,bot,botbot,5147775555,H3C3J7,0
bot3,#Bot123123,bot3@umontreal.ca,bot,botbot,5147775555,H3C3J7,0
bot4,#Bot123123,bot4@umontreal.ca,bot,botbot,5147775555,H3C3J7,0
bot5,#Bot123123,bot5@umontreal.ca,bot,botbot,5147775555,H3C3J7,0
temp,#We123123,temp@gmail.com,tempNom,tempPrenom,1281231231,H5W3X3,0
test,#We123123,test@gmail.com,testNom,testPrenom,5141231231,H5W3X3,0
we,#We123123,we@gmail.com,weNom,wePrenom,4381231231,H5W3X3,0
